config,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,retrains_mean,retrains_std
electricity_fixed_retrain_rf,5,157.28626809175654,0.44018894971219036,353.7554057608916,1.6810242316329354,9.776278233541808,0.03270254502416749,533.0,0.0
electricity_fixed_retrain_seasonal_naive,5,259.1578408380238,0.0,553.3836941662115,0.0,12.778539843928161,0.0,533.0,0.0
electricity_fixed_retrain_tsmixer,5,633.4851987237593,0.0,1160.6185901642189,0.0,26.529281590230188,0.0,533.0,0.0
electricity_no_retrain_lgbm,5,1494.5393412799951,0.0,2879.75844518048,0.0,71.63639956014713,0.0,1.0,0.0
electricity_no_retrain_lstm,5,2214.875566966984,42.83267926994419,2885.320464219765,63.9677237388847,105.83082658032227,1.3880472593605144,1.0,0.0
electricity_no_retrain_naive,5,2219.2852564102564,0.0,3608.452636174846,5.084229945850415e-13,118.97400302798636,0.0,1.0,0.0
electricity_no_retrain_rf,5,1811.775919896795,21.140649643888995,3062.6424212544903,14.723181399488134,87.27516462806452,4.204196317516783,1.0,0.0
electricity_no_retrain_seasonal_naive,5,2188.6955909943713,0.0,3577.312688876858,0.0,111.21698044653456,0.0,1.0,0.0
electricity_no_retrain_tsmixer,5,872.2705115114737,0.0,1439.925810698109,0.0,42.30410408147199,0.0,1.0,0.0
traffic_adaptive_retrain_lgbm,5,190.88500627533094,0.0,358.89602656107655,0.0,9.292103094643519,0.0,494.0,0.0
traffic_adaptive_retrain_lstm,5,2765.753929687896,11.53552584345518,3371.6252458940407,10.004138167866639,72.70284178618563,0.14068265645159925,494.0,0.0
traffic_adaptive_retrain_naive,5,2998.7485675766766,0.0,3593.6504221693112,5.084229945850415e-13,146.93153162579037,0.0,4.0,0.0
traffic_adaptive_retrain_rf,5,321.6191473991306,0.53144323945537,600.4484148299496,3.196033499615902,13.393606775981201,0.0143049383635112,494.0,0.0
traffic_adaptive_retrain_seasonal_naive,5,2802.4795458375465,0.0,3378.2931549057153,0.0,143.3216528847852,0.0,19.0,0.0
traffic_adaptive_retrain_tsmixer,5,1422.7389218982357,0.0,1962.328114205055,2.5421149729252077e-13,68.67395920067608,0.0,343.0,0.0
traffic_fixed_retrain_lgbm,5,195.59795363340464,0.0,364.8586708961814,0.0,9.289302694569185,0.0,198.0,0.0
traffic_fixed_retrain_lstm,5,2621.913893206903,21.168420037178436,3226.8147641414025,21.668258826974412,70.98038524688911,0.2548349915906945,198.0,0.0
traffic_fixed_retrain_naive,5,2227.155375800472,0.0,2743.0214988140083,0.0,79.72490536276683,0.0,198.0,0.0
traffic_fixed_retrain_rf,5,327.7256774105278,1.1690089154568248,605.5597414336913,4.69331548865976,13.62525329410758,0.03923650566047194,198.0,0.0
traffic_fixed_retrain_seasonal_naive,5,2141.5023592854736,0.0,2710.5166227245427,0.0,77.40291443092548,0.0,198.0,0.0
traffic_fixed_retrain_tsmixer,5,897.5900325945864,0.0,1156.7313543782693,0.0,41.616476724772575,0.0,198.0,0.0
traffic_no_retrain_lgbm,5,212.70753324287563,0.0,385.7975434998868,0.0,9.786707692998489,0.0,1.0,0.0
traffic_no_retrain_lstm,5,2937.626693235944,547.7468164096226,3502.886850382844,506.4388996867013,74.80331254499454,6.465792224422494,1.0,0.0
traffic_no_retrain_naive,5,1744.5208543983822,0.0,1986.0409853632514,2.5421149729252077e-13,63.4028847601669,0.0,1.0,0.0
traffic_no_retrain_rf,5,349.92987911675516,7.363174878881461,588.856076128538,21.821303368681885,14.117164526725151,0.18843666193656652,1.0,0.0
traffic_no_retrain_seasonal_naive,5,2180.6418099089988,0.0,2688.5029466841374,0.0,81.93676070621933,0.0,1.0,0.0
traffic_no_retrain_tsmixer,5,852.3067139037579,0.0,1068.911634506323,0.0,37.881039650433166,0.0,1.0,0.0
wti_adaptive_retrain_lgbm,5,3.609255190547196,0.0,9.45743231306662,0.0,6.7857572258926835,9.930136612989092e-16,10.0,0.0
wti_adaptive_retrain_lstm,5,37.28943673943728,0.7885671360949765,47.236546942104816,0.9931941176432614,55.161470845992994,0.7023632003216459,10.0,0.0
wti_adaptive_retrain_naive,5,17.610091991341992,0.0,27.137734717360377,0.0,28.552254253014002,0.0,11.0,0.0
wti_adaptive_retrain_rf,5,4.183895960154758,0.0065684393896714745,10.578908746028013,0.021672292105977625,7.848056705423327,0.011778597866533961,11.0,0.0
wti_adaptive_retrain_seasonal_naive,5,17.43097132034632,0.0,26.47978268856763,3.972054645195637e-15,29.268564339870174,0.0,11.0,0.0
wti_adaptive_retrain_tsmixer,5,1.387586871202421,0.0,2.935033185499915,0.0,3.272990267575119,0.0,11.0,0.0
wti_fixed_retrain_lgbm,5,7.119883992949015,9.930136612989092e-16,14.121597624829391,0.0,13.337304586648576,0.0,5.0,0.0
wti_fixed_retrain_lstm,5,36.448740845754784,0.6757190855617338,49.65679530238158,1.4936549524563096,55.204801015933825,0.6561691994525662,5.0,0.0
wti_fixed_retrain_naive,5,19.75002164502165,0.0,26.891229525233463,0.0,35.49924809342294,0.0,5.0,0.0
wti_fixed_retrain_rf,5,8.222873439188406,0.04510178879417438,15.399624006313147,0.0619255753844052,15.499565828318856,0.09255770749339244,5.0,0.0
wti_fixed_retrain_seasonal_naive,5,18.854096320346322,0.0,25.4541678573377,0.0,35.0265071452322,0.0,5.0,0.0
wti_fixed_retrain_tsmixer,5,1.3688830729457937,0.0,2.7672189563069858,0.0,3.16783639380746,0.0,5.0,0.0
wti_no_retrain_lgbm,5,18.176231531116606,0.0,29.44894869953374,3.972054645195637e-15,31.679252457307758,3.972054645195637e-15,1.0,0.0
wti_no_retrain_lstm,5,25.841834692329133,0.7278690846264749,31.843467494454625,0.958387379253603,54.05369570970779,1.6284068102919602,1.0,0.0
wti_no_retrain_naive,5,32.73554924242424,0.0,43.21105904615962,0.0,73.96436461008776,0.0,1.0,0.0
wti_no_retrain_rf,5,20.547143013317893,0.213964246168665,31.1380593969276,0.23988228518851668,35.592554984780506,0.4986916606025908,1.0,0.0
wti_no_retrain_seasonal_naive,5,32.90544913419914,0.0,43.3840386096968,0.0,74.61635984186739,0.0,1.0,0.0
wti_no_retrain_tsmixer,5,1.8721115159755883,0.0,4.087839281848254,0.0,4.08414738781624,0.0,1.0,0.0
